fileName,objectName,frequency,extension
trio-001L-LRGB.fit,trio-001L-LRG,Luminescence,fit
trio-001B.fit,trio-001,Blue,fit
totRGB.fit,totRG,Blue,fit
Total-RGB.fit,Total-RG,Blue,fit
TB1-RGB.fit,TB1-RG,Blue,fit
TB1-B.fit,TB1-,Blue,fit
stack-RGB.fit,stack-RG,Blue,fit
stack-RGB.fit,stack-RG,Blue,fit
stack-RGB.fit,stack-RG,Blue,fit
stack-RGB.fit,stack-RG,Blue,fit
stackRaw-RGB.fit,stackRaw-RG,Blue,fit
stack-LRGB.fit,stack-LRG,Blue,fit
stack-LRGB.fit,stack-LRG,Blue,fit
stackLRGB.fit,stackLRG,Blue,fit
stackLRGB.fit,stackLRG,Blue,fit
stack-B.fit,stack-,Blue,fit
SIIstack-RGB,SIIstack-RG,Blue,fit
SIIstack-RGB,SIIstack-RG,Blue,fit
SIIstack-RGB,SIIstack-RG,Blue,fit
SHO-RGB.fit,SHO-RG,Blue,fit
SHO-RGB.fit,SHO-RG,Blue,fit
SHO-RGB.fit,SHO-RG,Blue,fit
sh157-003B.fit,sh157-003,Blue,fit
sh157-002B.fit,sh157-002,Blue,fit
sh157-001B.fit,sh157-001,Blue,fit
RR-004B.fit,RR-004,Blue,fit
RR-003B.fit,RR-003,Blue,fit
RR-002B.fit,RR-002,Blue,fit
RR-001B.fit,RR-001,Blue,fit
RR-001B.fit,RR-001,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
RGB.fit,RG,Blue,fit
NGC7635-004B.fit,NGC7635-004,Blue,fit
NGC7635-003B.fit,NGC7635-003,Blue,fit
NGC7635-002B.fit,NGC7635-002,Blue,fit
NGC7635-001B.fit,NGC7635-001,Blue,fit
NGC7023-005B.fit,NGC7023-005,Blue,fit
NGC7023-004B.fit,NGC7023-004,Blue,fit
NGC7023-003B.fit,NGC7023-003,Blue,fit
NGC7023-002B.fit,NGC7023-002,Blue,fit
NGC7023-001B.fit,NGC7023-001,Blue,fit
NGC3718-008B.fit,NGC3718-008,Blue,fit
NGC3718-007B.fit,NGC3718-007,Blue,fit
NGC3718-006B.fit,NGC3718-006,Blue,fit
NGC3718-005B.fit,NGC3718-005,Blue,fit
NGC3718-004B.fit,NGC3718-004,Blue,fit
NGC3718-003B.fit,NGC3718-003,Blue,fit
NGC3718-002B.fit,NGC3718-002,Blue,fit
NGC3718-001B.fit,NGC3718-001,Blue,fit
NGC3190-002B.fit,NGC3190-002,Blue,fit
NGC3190-001B.fit,NGC3190-001,Blue,fit
NGC2903-004B.fit,NGC2903-004,Blue,fit
NGC2903-003B.fit,NGC2903-003,Blue,fit
NGC2903-002B.fit,NGC2903-002,Blue,fit
NGC2903-001B.fit,NGC2903-001,Blue,fit
NGC2403-008B.fit,NGC2403-008,Blue,fit
NGC2403-007B.fit,NGC2403-007,Blue,fit
NGC2403-006B.fit,NGC2403-006,Blue,fit
NGC2403-005B.fit,NGC2403-005,Blue,fit
NGC2403-004B.fit,NGC2403-004,Blue,fit
NGC2403-003B.fit,NGC2403-003,Blue,fit
NGC2403-002B.fit,NGC2403-002,Blue,fit
NGC2403-001B.fit,NGC2403-001,Blue,fit
NGC2264-LRGB.fit,NGC2264-LRG,Blue,fit
NGC1333-004B.fit,NGC1333-004,Blue,fit
NGC1333-003B.fit,NGC1333-003,Blue,fit
NGC1333-002B.fit,NGC1333-002,Blue,fit
NGC1333-001B.fit,NGC1333-001,Blue,fit
MM81-82-007B.fit,MM81-82-007,Blue,fit
MM81-82-006B.fit,MM81-82-006,Blue,fit
MM81-82-005B.fit,MM81-82-005,Blue,fit
MM81-82-004B.fit,MM81-82-004,Blue,fit
MM81-82-003B.fit,MM81-82-003,Blue,fit
MM81-82-002B.fit,MM81-82-002,Blue,fit
MM81-82-001B.fit,MM81-82-001,Blue,fit
M97-004B.fit,M97-004,Blue,fit
M97-003B.fit,M97-003,Blue,fit
M97-002B.fit,M97-002,Blue,fit
M97-001B.fit,M97-001,Blue,fit
M82-018B.fit,M82-018,Blue,fit
M82-017B.fit,M82-017,Blue,fit
M82-016B.fit,M82-016,Blue,fit
M82-015B.fit,M82-015,Blue,fit
M82-014B.fit,M82-014,Blue,fit
M82-013B.fit,M82-013,Blue,fit
M82-012B.fit,M82-012,Blue,fit
M82-011B.fit,M82-011,Blue,fit
M82-010B.fit,M82-010,Blue,fit
M82-009B.fit,M82-009,Blue,fit
M82-008B.fit,M82-008,Blue,fit
M82-007B.fit,M82-007,Blue,fit
M82-006B.fit,M82-006,Blue,fit
M82-005B.fit,M82-005,Blue,fit
M82-004B.fit,M82-004,Blue,fit
M82-003B.fit,M82-003,Blue,fit
M82-002B.fit,M82-002,Blue,fit
M82-001B.fit,M82-001,Blue,fit
M8182x-001B.fit,M8182x-001,Blue,fit
M81-82-004B.fit,M81-82-004,Blue,fit
M8182-004B.fit,M8182-004,Blue,fit
M81-82-003B.fit,M81-82-003,Blue,fit
M8182-003B.fit,M8182-003,Blue,fit
M81-82-002B.fit,M81-82-002,Blue,fit
M8182-002B.fit,M8182-002,Blue,fit
M81-82-001B.fit,M81-82-001,Blue,fit
M8182-001B.fit,M8182-001,Blue,fit
M81-008B.fit,M81-008,Blue,fit
M81-007B.fit,M81-007,Blue,fit
M81-006B.fit,M81-006,Blue,fit
M81-005B.fit,M81-005,Blue,fit
M81-004B.fit,M81-004,Blue,fit
M81-003B.fit,M81-003,Blue,fit
M81-002B.fit,M81-002,Blue,fit
M81-001B.fit,M81-001,Blue,fit
M78-002B.fit,M78-002,Blue,fit
M78-001B.fit,M78-001,Blue,fit
M63-007B.fit,M63-007,Blue,fit
M63-006B.fit,M63-006,Blue,fit
M63-005B.fit,M63-005,Blue,fit
M63-004B.fit,M63-004,Blue,fit
M63-003B.fit,M63-003,Blue,fit
M63-002B.fit,M63-002,Blue,fit
M63-001B.fit,M63-001,Blue,fit
M57-004B.fit,M57-004,Blue,fit
M57-003B.fit,M57-003,Blue,fit
M57-002B.fit,M57-002,Blue,fit
M57-001B.fit,M57-001,Blue,fit
M51-B.fit,M51-,Blue,fit
M51-600B.fit,M51-600,Blue,fit
M51-006B.fit,M51-006,Blue,fit
M51-005B.fit,M51-005,Blue,fit
M51-004B.fit,M51-004,Blue,fit
M51-003B.fit,M51-003,Blue,fit
M51-002B.fit,M51-002,Blue,fit
M51-001B.fit,M51-001,Blue,fit
M45short-008B.fit,M45short-008,Blue,fit
M45short-007B.fit,M45short-007,Blue,fit
M45short-006B.fit,M45short-006,Blue,fit
M45short-005B.fit,M45short-005,Blue,fit
M45short-004B.fit,M45short-004,Blue,fit
M45short-003B.fit,M45short-003,Blue,fit
M45short-002B.fit,M45short-002,Blue,fit
M45short-001B.fit,M45short-001,Blue,fit
M45-B.fit,M45-,Blue,fit
M45-010B.fit,M45-010,Blue,fit
M45-009B.fit,M45-009,Blue,fit
M45-008B.fit,M45-008,Blue,fit
M45-007B.fit,M45-007,Blue,fit
M45-006B.fit,M45-006,Blue,fit
M45-005B.fit,M45-005,Blue,fit
M45-004B.fit,M45-004,Blue,fit
M45-003B.fit,M45-003,Blue,fit
M45-002B.fit,M45-002,Blue,fit
M45-001B.fit,M45-001,Blue,fit
M42-004B.fit,M42-004,Blue,fit
M42-003B.fit,M42-003,Blue,fit
M42-002B.fit,M42-002,Blue,fit
M42-001B.fit,M42-001,Blue,fit
M33-009B.fit,M33-009,Blue,fit
M33-008B.fit,M33-008,Blue,fit
M33-007B.fit,M33-007,Blue,fit
M33-006B.fit,M33-006,Blue,fit
m33-005B.fit,m33-005,Blue,fit
M33-004B.fit,M33-004,Blue,fit
M33-003B.fit,M33-003,Blue,fit
M33-002B.fit,M33-002,Blue,fit
M33-001B.fit,M33-001,Blue,fit
M31-010B.fit,M31-010,Blue,fit
M31-009B.fit,M31-009,Blue,fit
M31-008B.fit,M31-008,Blue,fit
M31-007B.fit,M31-007,Blue,fit
M31-006B.fit,M31-006,Blue,fit
M31-005B.fit,M31-005,Blue,fit
M31-004B.fit,M31-004,Blue,fit
M31-003B.fit,M31-003,Blue,fit
M31-002B.fit,M31-002,Blue,fit
M31-001B.fit,M31-001,Blue,fit
M3-008B.fit,M3-008,Blue,fit
M3-007B.fit,M3-007,Blue,fit
M3-006B.fit,M3-006,Blue,fit
M3-005B.fit,M3-005,Blue,fit
M3-004B.fit,M3-004,Blue,fit
M3-003B.fit,M3-003,Blue,fit
M3-002B.fit,M3-002,Blue,fit
M3-001B.fit,M3-001,Blue,fit
M27-006B.fit,M27-006,Blue,fit
M27-005B.fit,M27-005,Blue,fit
M27-004B.fit,M27-004,Blue,fit
M27-003B.fit,M27-003,Blue,fit
M27-002B.fit,M27-002,Blue,fit
M27-001B.fit,M27-001,Blue,fit
M13-003B.fit,M13-003,Blue,fit
M13-002B.fit,M13-002,Blue,fit
M13-001B.fit,M13-001,Blue,fit
M109-002B.fit,M109-002,Blue,fit
M109-001B.fit,M109-001,Blue,fit
m106b-006B.fit,m106b-006,Blue,fit
m106b-005B.fit,m106b-005,Blue,fit
m106b-004B.fit,m106b-004,Blue,fit
m106b-003B.fit,m106b-003,Blue,fit
M106-005B.fit,M106-005,Blue,fit
m106-004B.fit,m106-004,Blue,fit
M106-003B.fit,M106-003,Blue,fit
M106-002B.fit,M106-002,Blue,fit
M106-001B.fit,M106-001,Blue,fit
M104-00XB.fit,M104-00X,Blue,fit
M101-B.fit,M101-,Blue,fit
M101-006B.fit,M101-006,Blue,fit
M101-005B.fit,M101-005,Blue,fit
M101-004B.fit,M101-004,Blue,fit
M101-003B.fit,M101-003,Blue,fit
M101-002B.fit,M101-002,Blue,fit
