Scale,Distance (meters),Time (seconds),Volume (cubic meters),Pi,Plank Time to Light at Scale (seconds),Gravity (m/s²),Latitude (degrees),Longitude (degrees),Declination (dec),Right Ascension (RA)
2,1.078e-43,2,8,3.1415926536,1.078e-43,19.6,0.0,0.0,0.0,0.0
3,1.617e-43,3,27,3.1415926536,1.617e-43,29.4,0.0,0.0,0.0,0.0
4,2.156e-43,4,64,3.1415926536,2.156e-43,39.2,0.0,0.0,0.0,0.0
5,2.6949999999999997e-43,5,125,3.1415926536,2.6949999999999997e-43,49.0,0.0,0.0,0.0,0.0
8,4.312e-43,8,512,3.1415926536,4.312e-43,78.4,0.0,0.0,0.0,0.0
10,5.389999999999999e-43,10,1000,3.1415926536,5.389999999999999e-43,98.0,0.0,0.0,0.0,0.0
11,5.928999999999999e-43,11,1331,3.1415926536,5.928999999999999e-43,107.8,0.0,0.0,0.0,0.0
12,6.468e-43,12,1728,3.1415926536,6.468e-43,117.6,0.0,0.0,0.0,0.0
13,7.007e-43,13,2197,3.1415926536,7.007e-43,127.4,0.0,0.0,0.0,0.0
15,8.085e-43,15,3375,3.1415926536,8.085e-43,147.0,0.0,0.0,0.0,0.0
16,8.624e-43,16,4096,3.1415926536,8.624e-43,156.8,0.0,0.0,0.0,0.0
19,1.0240999999999999e-42,19,6859,3.1415926536,1.0240999999999999e-42,186.2,0.0,0.0,0.0,0.0
22,1.1857999999999998e-42,22,10648,3.1415926536,1.1857999999999998e-42,215.6,0.0,0.0,0.0,0.0
25,1.3475e-42,25,15625,3.1415926536,1.3475e-42,245.0,0.0,0.0,0.0,0.0
28,1.5092e-42,28,21952,3.1415926536,1.5092e-42,274.4,0.0,0.0,0.0,0.0
31,1.6709e-42,31,29791,3.1415926536,1.6709e-42,303.8,0.0,0.0,0.0,0.0
32,1.7248e-42,32,32768,3.1415926536,1.7248e-42,313.6,0.0,0.0,0.0,0.0
33,1.7786999999999998e-42,33,35937,3.1415926536,1.7786999999999998e-42,323.4,0.0,0.0,0.0,0.0
34,1.8325999999999998e-42,34,39304,3.1415926536,1.8325999999999998e-42,333.2,0.0,0.0,0.0,0.0
35,1.8864999999999998e-42,35,42875,3.1415926536,1.8864999999999998e-42,343.0,0.0,0.0,0.0,0.0
37,1.9942999999999998e-42,37,50653,3.1415926536,1.9942999999999998e-42,362.6,0.0,0.0,0.0,0.0
45,2.4254999999999997e-42,45,91125,3.1415926536,2.4254999999999997e-42,441.0,0.0,0.0,0.0,0.0
50,2.695e-42,50,125000,3.1415926536,2.695e-42,490.0,0.0,0.0,0.0,0.0
51,2.7489e-42,51,132651,3.1415926536,2.7489e-42,499.8,0.0,0.0,0.0,0.0
54,2.9106e-42,54,157464,3.1415926536,2.9106e-42,529.2,0.0,0.0,0.0,0.0
57,3.0722999999999995e-42,57,185193,3.1415926536,3.0722999999999995e-42,558.6,0.0,0.0,0.0,0.0
60,3.234e-42,60,216000,3.1415926536,3.234e-42,588.0,0.0,0.0,0.0,0.0
64,3.4496e-42,64,262144,3.1415926536,3.4496e-42,627.2,0.0,0.0,0.0,0.0
94,5.066599999999999e-42,94,830584,3.1415926536,5.066599999999999e-42,921.2,0.0,0.0,0.0,0.0
171,9.2169e-42,171,5000211,3.1415926536,9.2169e-42,1675.8,0.0,0.0,0.0,0.0
206,1.1103399999999999e-41,206,8741816,3.1415926536,1.1103399999999999e-41,2018.8,0.0,0.0,0.0,0.0
345,1.8595499999999998e-41,345,41063625,3.1415926536,1.8595499999999998e-41,3381.0,0.0,0.0,0.0,0.0
360,1.9403999999999997e-41,360,46656000,3.1415926536,1.9403999999999997e-41,3528.0,0.0,0.0,0.0,0.0
