field,tables
NGC number,allNGCobjects
Other names,allNGCobjects
Object type,allNGCobjects
Constellation,"allNGCobjects,constellationlist,constellationsByAreaclean00,constellationsclean00,ListofallNGCobjects,ListofNGCobjects10012000,ListofNGCobjects11000,ListofNGCobjects20013000,ListofNGCobjects30014000,ListofNGCobjects40015000,ListofNGCobjects50016000,ListofNGCobjects60017000,ListofNGCobjects70017840,Listofsemiregularvariablestars,messierObjectsTable"
Right ascension (J2000),allNGCobjects
Declination (J2000),allNGCobjects
Apparent magnitude,allNGCobjects
constellationID,"constellationAbrev,constellations,constellationsNorthWales,messierConstellationTypes,messierTable"
Con,"constellationAbrev,messierConstellationTypes,messierObjectAbrev,messierObjects"
ConstellationName,"constellationAbrev,constellations,constellationsNorthWales,messierTable"
conID,"constellationlist,constellationstarsdata"
wikiConstellationURL,constellationlist
pageID,"constellations,constellationsNorthWales,messierTable"
menuID,"constellations,constellationsNorthWales,messierTable"
SubMenuID,"constellations,constellationsNorthWales,messierTable"
Declination,"constellations,constellationsNorthWales,constellationStars,ListofAndromedassatellitegalaxies,Listofsupernovaremnants,messierObjects,messierObjectsTable,messierTable"
RightAscension,"constellations,constellationsNorthWales,messierTable"
visableEn,"constellations,constellationsNorthWales,messierTable"
visableCy,"constellations,constellationsNorthWales,messierTable"
descriptionEn,"constellations,constellationsNorthWales,messierTable,types"
descriptionCy,"constellations,constellationsNorthWales,messierTable,types"
wikiURL,"constellations,constellationsNorthWales,messierTable,starByConstellation"
wikiDataURL,"constellations,constellationsNorthWales"
imageURL,"constellations,constellationsNorthWales,messierTable"
Magnitude,"constellations,constellationsNorthWales,ListofTriangulumssuspectedsatellitegalaxies,messierTable"
soEn,"constellations,constellationsNorthWales,messierTable"
soCy,"constellations,constellationsNorthWales,messierTable"
asoEn,"constellations,constellationsNorthWales,messierTable"
asoCy,"constellations,constellationsNorthWales,messierTable"
bt1En,"constellations,constellationsNorthWales,messierTable"
bt2En,"constellations,constellationsNorthWales,messierTable"
bt3En,"constellations,constellationsNorthWales,messierTable"
bt4En,"constellations,constellationsNorthWales,messierTable"
bt5En,"constellations,constellationsNorthWales,messierTable"
bt1Cy,"constellations,constellationsNorthWales,messierTable"
bt2Cy,"constellations,constellationsNorthWales,messierTable"
bt3Cy,"constellations,constellationsNorthWales,messierTable"
bt4Cy,"constellations,constellationsNorthWales,messierTable"
bt5Cy,"constellations,constellationsNorthWales,messierTable"
bt1Image,"constellations,constellationsNorthWales,messierTable"
bt1AltTextEn,"constellations,constellationsNorthWales,messierTable"
bt1AltTextCy,"constellations,constellationsNorthWales,messierTable"
bt2Image,"constellations,constellationsNorthWales,messierTable"
