Table,Field,Type,Null,Key,Default,Extra
ListofAbellclusters,Unnamed_0,text,YES,,,
ListofAbellclusters,This_list_is_incomplete_you_can_help_by_adding_missing_items_Au,text,YES,,,
ListofAndromedassatellitegalaxies,Name,text,YES,,,
ListofAndromedassatellitegalaxies,Type,text,YES,,,
ListofAndromedassatellitegalaxies,Distance_from_Sunmillion_ly,text,YES,,,
ListofAndromedassatellitegalaxies,Right_Ascension,text,YES,,,
ListofAndromedassatellitegalaxies,Declination,text,YES,,,
ListofAndromedassatellitegalaxies,Absolute_Magnitude1,text,YES,,,
ListofAndromedassatellitegalaxies,Apparent_magnitude,text,YES,,,
ListofAndromedassatellitegalaxies,Masstolight_ratio,text,YES,,,
ListofAndromedassatellitegalaxies,3D_distance_to_M31_kly,text,YES,,,
ListofAndromedassatellitegalaxies,Yeardiscovered,text,YES,,,
ListofAndromedassatellitegalaxies,Notes,text,YES,,,
ListofMessierobjects,All_Messier_objects_photographed_by_an_amateur_astronomer,text,YES,,,
ListofNGCobjects10012000,NGC_number,text,YES,,,
ListofNGCobjects10012000,Other_names,text,YES,,,
ListofNGCobjects10012000,Object_type,text,YES,,,
ListofNGCobjects10012000,Constellation,text,YES,,,
ListofNGCobjects10012000,Right_ascension_J2000,text,YES,,,
ListofNGCobjects10012000,Declination_J2000,text,YES,,,
ListofNGCobjects10012000,Apparent_magnitude,text,YES,,,
ListofNGCobjects11000,NGC_number,text,YES,,,
ListofNGCobjects11000,Other_names,text,YES,,,
ListofNGCobjects11000,Object_type,text,YES,,,
ListofNGCobjects11000,Constellation,text,YES,,,
ListofNGCobjects11000,Right_ascension_J2000,text,YES,,,
ListofNGCobjects11000,Declination_J2000,text,YES,,,
ListofNGCobjects11000,Apparent_magnitude,text,YES,,,
ListofNGCobjects20013000,NGC_number,text,YES,,,
ListofNGCobjects20013000,Other_names,text,YES,,,
ListofNGCobjects20013000,Object_type,text,YES,,,
ListofNGCobjects20013000,Constellation,text,YES,,,
ListofNGCobjects20013000,Right_ascension_J2000,text,YES,,,
ListofNGCobjects20013000,Declination_J2000,text,YES,,,
ListofNGCobjects20013000,Apparent_magnitude,text,YES,,,
ListofNGCobjects30014000,NGC_number,text,YES,,,
ListofNGCobjects30014000,Other_names,text,YES,,,
ListofNGCobjects30014000,Object_type,text,YES,,,
ListofNGCobjects30014000,Constellation,text,YES,,,
ListofNGCobjects30014000,Right_ascension_J2000,text,YES,,,
