table,fields
allNGCobjects,"NGC number,Other names,Object type,Constellation,Right ascension (J2000),Declination (J2000),Apparent magnitude"
constellationAbrev,"constellationID,Con,ConstellationName"
constellationlist,"conID,Constellation,wikiConstellationURL"
constellations,"constellationID,pageID,menuID,SubMenuID,ConstellationName,Declination,RightAscension,visableEn,visableCy,descriptionEn,descriptionCy,wikiURL,wikiDataURL,imageURL,Magnitude,soEn,soCy,asoEn,asoCy,bt1En,bt2En,bt3En,bt4En,bt5En,bt1Cy,bt2Cy,bt3Cy,bt4Cy,bt5Cy,bt1Image,bt1AltTextEn,bt1AltTextCy,bt2Image,bt2AltTextEn,bt2AltTextCy,bt3Image,bt3AltTextEn,bt3AltTextCy,bt4Image,bt4AltTextEn,bt4AltTextCy"
constellationsByAreaclean00,"Rank,Abbrev,Constellation,Solid_angle_Area_sq_deg,Solid_angle_millisteradians,Percentage,Right_ascension_hours_mins,Declination_degs_mins,Quad"
constellationsclean00,"Constellation,AbreviationIAU,AbreviationNASA,Genitive,Origin,Meaning,Brightesstar"
constellationsEnglish,"Latin_Name,English_Name_or_Description"
constellationsNorthWales,"constellationID,pageID,menuID,SubMenuID,ConstellationName,Declination,RightAscension,visableEn,visableCy,descriptionEn,descriptionCy,wikiURL,wikiDataURL,imageURL,Magnitude,soEn,soCy,asoEn,asoCy,bt1En,bt2En,bt3En,bt4En,bt5En,bt1Cy,bt2Cy,bt3Cy,bt4Cy,bt5Cy,bt1Image,bt1AltTextEn,bt1AltTextCy,bt2Image,bt2AltTextEn,bt2AltTextCy,bt3Image,bt3AltTextEn,bt3AltTextCy,bt4Image,bt4AltTextEn,bt4AltTextCy"
constellationStars,"starID,constelleationID,Name,B,F,G,Var,HD,HIP,RA,Declination,visMag,abs_mag,DistLy,SpClass,Notes"
constellationstarsdata,"constellation,Name,B,F,Var,HD,HIP,RA,Dec,Visual_Magnitude,Absolute_Magnitude,Distly,Sp_class,Notes,wikiStarURL,wikiStarNotesURL,Wikipedia_URL,distance_parsec,parallax,distance_m,conID"
ListofAbellclusters,"Unnamed_0,This_list_is_incomplete_you_can_help_by_adding_missing_items_Au"
ListofallNGCobjects,"NGC_number,Other_names,Object_type,Constellation,Right_ascension_J2000,Declination_J2000,Apparent_magnitude"
ListofAndromedassatellitegalaxies,"Name,Type,Distance_from_Sunmillion_ly,Right_Ascension,Declination,Absolute_Magnitude1,Apparent_magnitude,Masstolight_ratio,3D_distance_to_M31_kly,Yeardiscovered,Notes"
Listofbrighteststars,"Unnamed_0,This_table_needs_additional_citations_for_verification_Please_he"
Listofbrowndwarfs,"Unnamed_0,This_article_needs_additional_citations_for_verification_Please_"
